iter	Passed	Remaining
0	1	141
1	2	108
2	2	94
3	3	83
4	4	80
5	4	78
6	5	75
7	6	74
8	7	72
9	7	70
10	8	69
11	9	67
12	9	66
13	10	65
14	11	64
15	12	63
16	12	62
17	13	61
18	14	60
19	15	61
20	16	60
21	16	60
22	17	59
23	18	59
24	19	58
25	20	57
26	20	56
27	21	55
28	22	54
29	22	52
30	23	52
31	24	51
32	24	50
33	25	49
34	26	49
35	27	48
36	27	47
37	28	46
38	29	45
39	30	45
40	31	44
41	31	43
42	32	42
43	32	41
44	33	40
45	34	40
46	34	39
47	35	38
48	36	37
49	36	36
50	37	36
51	38	35
52	39	34
53	39	33
54	40	32
55	40	32
56	41	31
57	42	30
58	43	29
59	43	29
60	44	28
61	45	27
62	45	26
63	46	26
64	47	25
65	47	24
66	48	23
67	49	23
68	50	22
69	50	21
70	51	21
71	52	20
72	52	19
73	53	18
74	54	18
75	54	17
76	55	16
77	56	15
78	57	15
79	57	14
80	58	13
81	59	12
82	59	12
83	60	11
84	61	10
85	61	10
86	62	9
87	63	8
88	64	7
89	64	7
90	65	6
91	66	5
92	66	5
93	67	4
94	68	3
95	68	2
96	69	2
97	70	1
98	70	0
99	71	0
